0;Global soft reset control ;R/W;0
1;Global request and mode control;R/W;0
2;Global request and mode control;R/W;0
3;Global enable control;R/W;17
4;Global enable control;R/W;6F
5;Global mode and enable control;R/W;C8
6;Global clear alarms;R/W;0
7;Global miscellaneous control;R/W;0
8;Global miscellaneous control;R/W;0
9;Global miscellaneous control;R/W;1
A;CLKIN0/CLKIN0 input buffer control;R/W;0
B;CLKIN1/CLKIN1 input buffer control;R/W;0
C;CLKIN2/CLKIN2 input buffer control;R/W;0
D;CLKIN3/CLKIN3 input buffer control;R/W;1
E;OSCIN/OSCIN input buffer control;R/W;B
14;PLL1 reference priority control ;R/W;93
15;PLL1 loss of signal (LOS) control ;R/W;3
16;PLL1 holdover exit control ;R/W;4
17;PLL1 holdover DAC/ADC control ;R/W;0
18;PLL1 holdover DAC/ADC control ;R/W;4
19;PLL1 LOS mode control ;R/W;0
1A;PLL1 charge pump control ;R/W;7
1B;PLL1 PFD control ;R/W;18
1C;CLKIN0/CLKIN0 input prescaler control ;R/W;1
1D;CLKIN1/CLKIN1 input prescaler control ;R/W;1
1E;CLKIN2/CLKIN2 input prescaler control ;R/W;1
1F;CLKIN3/CLKIN3 input prescaler control ;R/W;1
20;OSCIN/OSCIN Input prescaler control ;R/W;1
21;PLL1 reference divider control (R1)  LSB;R/W;8
22;PLL1 reference divider control (R1) MSB;R/W;0
26;PLL1 feedback divider control (N1) LSB;R/W;8
27;PLL1 feedback divider control (N1)  MSB;R/W;0
28;PLL1 lock detect control;R/W;F
29;PLL1 reference switching control ;R/W;1C
2A;PLL1 holdoff time control ;R/W;0
31;PLL2 miscellaneous control ;R/W;1
32;PLL2 frequency doubler control ;R/W;1
33;PLL2 reference divider control (R2) LSB;R/W;1
34;PLL2 reference divider control (R2) MSB;R/W;0
35;PLL2 feedback divider control (N2) LSB;R/W;18
36;PLL2 feedback divider control (N2) MSB;R/W;0
37;PLL2 charge pump control ;R/W;F
38;PLL2 PFD control ;R/W;18
39;OSCOUTx/ OSCOUTx path control ;R/W;1
3A;OSCOUTx/ OSCOUTx driver control ;R/W;21
3B;OSCOUTx/ OSCOUTx driver control ;R/W;0
3C;PLL2 miscellaneous control ;R/W;0
46;GPI1 control ;R/W;0
47;GPI2 control ;R/W;0
48;GPI3 control ;R/W;9
49;GPI4 control ;R/W;0
50;GPO1 control ;R/W;1F
51;GPO2 control ;R/W;2B
52;GPO3 control ;R/W;0
53;GPO4 control ;R/W;0
54;SDATA control ;R/W;3
5A;Pulse generator control ;R/W;1
5B;SYNC control ;R/W;6
5C;SYSREF timer control LSB;R/W;E8
5D;SYSREF timer control MSB;R/W;3
5E;SYSREF miscellaneous control ;R/W;0
64;External VCO control ;R/W;0
65;Analog delay common control ;R/W;0
70;PLL1 alarm mask control ;R/W;0
71;Alarm mask control ;R/W;10
78;Product ID LSB;R;51
79;Product ID MID;R;16
7A;Product ID MSB;R;30
7B;Readback register ;R;1
7C;PLL1 alarm readback ;R;1F
7D;Alarm readback ;R;13
7E;Latched alarm readback ;R;7F
7F;Alarm readback miscellaneous ;R;0
82;PLL1 status registers ;R;4
83;PLL1 status registers ;R;4C
84;PLL1 status registers ;R;4C
85;PLL1 status registers ;R;A
86;PLL1 status registers ;R;0
87;PLL1 status registers ;R;0
8C;PLL2 status registers ;R;E
8D;PLL2 status registers ;R;2
8E;PLL2 status registers ;R;0
8F;PLL2 status registers ;R;0
90;PLL2 status registers ;R;2
91;SYSREF status register ;R;2
96;Reserved ;R/W;0
97;Reserved ;R/W;0
98;Reserved ;R/W;0
99;Reserved ;R/W;0
9A;Reserved ;R/W;0
9B;Reserved ;R/W;AA
9C;Reserved ;R/W;AA
9D;Reserved ;R/W;AA
9E;Reserved ;R/W;AA
9F;Reserved ;R/W;4D
A0;Reserved ;R/W;DF
A1;Reserved ;R/W;97
A2;Reserved ;R/W;3
A3;Reserved ;R/W;0
A4;Reserved ;R/W;0
A5;Reserved ;R/W;6
A6;Reserved ;R/W;1C
A7;Reserved ;R/W;0
A8;Reserved ;R/W;6
A9;Reserved ;R/W;0
AB;Reserved ;R/W;0
AC;Reserved ;R/W;20
AD;Reserved ;R/W;0
AE;Reserved ;R/W;8
AF;Reserved ;R/W;50
B0;Reserved ;R/W;4
B1;Reserved ;R/W;D
B2;Reserved ;R/W;0
B3;Reserved ;R/W;0
B5;Reserved ;R/W;0
B6;Reserved ;R/W;0
