Event Head; Event Num = 17
Packet Head; Packet Num = 0
Frame = 6; Sample 1 = 1643; Sample 2 = 2895
Frame = 7; Sample 1 = 1659; Sample 2 = 2895
Frame = 8; Sample 1 = 1675; Sample 2 = 2895
Frame = 9; Sample 1 = 1691; Sample 2 = 2895
Frame = 10; Sample 1 = 1707; Sample 2 = 2895
Frame = 11; Sample 1 = 1723; Sample 2 = 2895
Frame = 12; Sample 1 = 1739; Sample 2 = 2895
Frame = 13; Sample 1 = 1755; Sample 2 = 2895
Frame = 14; Sample 1 = 1771; Sample 2 = 2895
Frame = 15; Sample 1 = 1787; Sample 2 = 2895
Frame = 16; Sample 1 = 1803; Sample 2 = 2895
Frame = 17; Sample 1 = 1819; Sample 2 = 2895
Frame = 18; Sample 1 = 1835; Sample 2 = 2895
Frame = 19; Sample 1 = 1851; Sample 2 = 2895
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 6
Frame = 0; Sample 1 = 1867; Sample 2 = 2911
Frame = 1; Sample 1 = 1883; Sample 2 = 2896
Frame = 2; Sample 1 = 1899; Sample 2 = 2896
Frame = 3; Sample 1 = 1915; Sample 2 = 2896
Frame = 4; Sample 1 = 1931; Sample 2 = 2896
Frame = 5; Sample 1 = 1947; Sample 2 = 2896
Frame = 6; Sample 1 = 1963; Sample 2 = 2896
Frame = 7; Sample 1 = 1979; Sample 2 = 2896
Frame = 8; Sample 1 = 1995; Sample 2 = 2896
Frame = 9; Sample 1 = 2011; Sample 2 = 2896
Frame = 10; Sample 1 = 2027; Sample 2 = 2896
Frame = 11; Sample 1 = 2043; Sample 2 = 2896
Frame = 12; Sample 1 = 2059; Sample 2 = 2896
Frame = 13; Sample 1 = 2075; Sample 2 = 2896
Frame = 14; Sample 1 = 2091; Sample 2 = 2896
Frame = 15; Sample 1 = 2107; Sample 2 = 2896
Frame = 16; Sample 1 = 2123; Sample 2 = 2896
Frame = 17; Sample 1 = 2139; Sample 2 = 2897
Frame = 18; Sample 1 = 2155; Sample 2 = 2897
Frame = 19; Sample 1 = 2171; Sample 2 = 2897
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 7
Frame = 0; Sample 1 = 2187; Sample 2 = 2897
Frame = 1; Sample 1 = 2203; Sample 2 = 2897
Frame = 2; Sample 1 = 2219; Sample 2 = 2897
Frame = 3; Sample 1 = 2235; Sample 2 = 2897
Frame = 4; Sample 1 = 2251; Sample 2 = 2897
Frame = 5; Sample 1 = 2267; Sample 2 = 2897
Frame = 6; Sample 1 = 2283; Sample 2 = 2897
Frame = 7; Sample 1 = 2299; Sample 2 = 2897
Frame = 8; Sample 1 = 2315; Sample 2 = 2897
Frame = 9; Sample 1 = 2331; Sample 2 = 2897
