0;x;R/W;6410
1;x;R/W;808
2;x;R/W;500
3;x;R/W;642
4;x;R/W;A43
5;x;R/W;C8
6;x;R/W;C802
7;x;R/W;40B2
8;x;R/W;2000
9;x;R/W;1604
A;x;R/W;10D8
B;x;R/W;48
C;x;R/W;5001
D;x;R/W;4000
E;x;R/W;1E70
F;x;R/W;64F
10;x;R/W;80
11;x;R/W;12C
12;x;R/W;64
13;x;R/W;27B7
14;x;R/W;E048
15;x;R/W;401
16;x;R/W;1
17;x;R/W;7C
18;x;R/W;71A
19;x;R/W;C2B
1A;x;R/W;DB0
1B;x;R/W;2
1C;x;R/W;488
1D;x;R/W;318C
1E;x;R/W;318C
1F;x;R/W;43EC
20;x;R/W;393
21;x;R/W;1E21
22;x;R/W;0
23;x;R/W;4
24;x;R/W;3C
25;x;R/W;8404
26;x;R/W;0
27;x;R/W;400
28;x;R/W;0
29;x;R/W;1
2A;x;R/W;0
2B;x;R/W;200
2C;x;R/W;32A3
2D;x;R/W;C0F2
2E;x;R/W;7FC
2F;x;R/W;300
30;x;R/W;300
31;x;R/W;4180
32;x;R/W;0
33;x;R/W;80
34;x;R/W;820
35;x;R/W;0
36;x;R/W;0
37;x;R/W;0
38;x;R/W;0
39;x;R/W;20
3A;x;R/W;1001
3B;x;R/W;1
3C;x;R/W;0
3D;x;R/W;A8
3E;x;R/W;322
3F;x;R/W;0
40;x;R/W;1388
41;x;R/W;0
42;x;R/W;1F4
43;x;R/W;0
44;x;R/W;3E8
45;x;R/W;0
46;x;R/W;C350
47;x;R/W;59
48;x;R/W;3
49;x;R/W;3F
4A;x;R/W;1000
4B;x;R/W;840
4C;x;R/W;C
4D;x;R/W;0
4E;x;R/W;3
4F;x;R/W;0
50;x;R/W;0
51;x;R/W;0
52;x;R/W;0
53;x;R/W;0
54;x;R/W;0
55;x;R/W;0
56;x;R/W;0
57;x;R/W;0
58;x;R/W;0
59;x;R/W;0
5A;x;R/W;0
5B;x;R/W;0
5C;x;R/W;0
5D;x;R/W;0
5E;x;R/W;0
5F;x;R/W;0
60;x;R/W;0
61;x;R/W;888
62;x;R/W;0
63;x;R/W;0
64;x;R/W;0
65;x;R/W;11
66;x;R/W;0
67;x;R/W;0
68;x;R/W;0
69;x;R/W;21
6A;x;R/W;0
6B;x;R/W;0
6C;x;R/W;0
6D;x;R/W;0
6E;x;R/W;0
6F;x;R/W;0
70;x;R/W;0
